DateTime,SiteCode,SampleCode,IGSN,ANALYZED MATERIAL,sample preparation,chemical treatment,Temperature ,pH,DO (%),DO,Specific Conductivity,Alkalinity ,Cl,SO4,NO3,Al,Ca,Fe,K,Mg,Mn,Na,Si,Sr,dissolved org C
9/12/2014,SCBL,SCBL_140912,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,16.5,7.56,61.9,6.04,395,289.598,263.0296,220.3581,8.846075,< 0.30,1718.2794,0.451248993,36.47217398,323.2256737,6.494588704,205.9002855,249.6350593,113.6799003,1.94
10/31/2014,SCBL,SCBL_141031,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,7.7,7.54,51.2,6.1,414,212.521,207.371,223.351,2.191,< 0.30,1810.85134,0.093114872,35.86600952,372.3842831,1.592703228,183.8208988,100.6693965,4.640493038,n.a.
1/21/2014,SCO,SCO_140121,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,0,7.87,115.7,16.89,225,1330.542216,219.7376587,141.4220279,75.92903226,< 0.3,788.6926148,< 0.03,29.05775231,273.1865871,< 0.03,134.6193997,76.41445612,n.a.,n.a.
3/7/2014,SCO,SCO_140307,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,0.1,7.26,103.4,15.1,240.7,n.a.,288.0197461,145.975432,59.25,0.374351371,799.6631737,< 0.03,38.33444166,283.163958,< 0.03,165.4980426,59.77212035,n.a.,n.a.
4/29/2014,SCO,SCO_140429,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,10.6,7.13,83.6,9.18,227.1,n.a.,n.a.,n.a.,n.a.,< 0.3,795.6137725,< 0.03,28.51552509,288.7677433,< 0.03,91.88777729,51.51860424,2.753937457,n.a.
6/19/2014,SCO,SCO_140619,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,17.8,7.09,101.4,9.51,177.8,n.a.,156.809591,88.39163023,35.19516129,0.552260934,617.8692615,< 0.03,45.05345542,184.5011315,< 0.03,108.5732927,73.00338259,1.819219356,n.a.
6/26/2014,SCO,SCO_140626,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,19.9,4.19,84.5,7.66,139.2,n.a.,327.932299,86.08786175,8.217741935,1.830985915,467.4600798,1.444941808,29.19842447,151.549064,< 0.03,89.4214876,80.15310664,1.399223921,n.a.
7/3/2014,SCO,SCO_140703,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,22.6,7.81,83.9,7.24,224.8,n.a.,169.5571227,115.0499688,n.a.,< 0.30,760.00998,< 0.03,29.97851553,272.3061099,0.322181368,124.1061331,71.85686309,2.726546451,2.35
7/24/2014,SCO,SCO_140724,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,206.031,159.6991,65.2142,< 0.30,1074.88,0.165,30.85,443.46,< 0.03,130.071,48.763,4.704,n.a.
7/28/2014,SCO,SCO_140728,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,20,7.32,81.5,7.38,201.9,133.5169461,n.a.,n.a.,n.a.,0.65400265,709.1022506,0.787895067,78.78603418,261.8555853,0.387709471,92.88479584,69.55314225,2.914859621,3.69
8/7/2014,SCO,SCO_140807,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,21.6,8.31,145.4,12.78,297.6,n.a.,n.a.,n.a.,n.a.,0.368099852,1078.733969,0.155788343,34.37233844,418.0703559,0.303978787,97.79132622,199.8326509,13.37365898,2.41
8/15/2014,SCO,SCO_140815,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,17,7.9,126.2,12.27,262.1,n.a.,n.a.,n.a.,n.a.,0.518198821,962.43076,0.592711971,39.78689611,339.1730097,0.172922065,97.8043755,170.5964038,18.49121205,n.a.
8/19/2014,SCO,SCO_140819,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,20.4,8.14,132.4,11.89,293.6,n.a.,n.a.,n.a.,n.a.,< 0.30,1073.459254,0.272181932,36.07829496,416.7702119,0.471440155,102.9109949,203.5819833,13.93175074,2.4
9/8/2014,SCO,SCO_140908,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,18.8,7.38,76.3,7.1,314.4,207.0431367,209.4669,158.1387,52.53778,< 0.30,1117.8427,1.230190706,38.27276378,435.1861757,0.358585755,120.2317431,59.81128716,4.662177585,2.4
9/12/2014,SCO,SCO_140912,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,17.9,7.82,77.3,7.3,330.6,215.816,238.8293,176.6011,62.90954425,< 0.30,1251.1153,0.648222759,39.71783939,502.8841802,1.314207692,130.1100503,66.02812889,5.342387583,1.48
9/19/2014,SCO,SCO_140919,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,14,7.78,92.8,9.55,350.3,170.854,236.0169252,190.4466,69.90577,< 0.30,1241.55,0.469155699,34.4848753,531.5614071,0.609777807,121.4105283,40.42371373,5.75211139,1.52
10/2/2014,SCO,SCO_141002,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,15.8,7.42,46.2,4.64,149.7,138.090991,n.a.,n.a.,n.a.,0.389542562,924.8839762,0.73954696,77.32305497,344.3530138,0.49146271,83.35011979,62.75591953,4.00707601,3.72
10/4/2014,SCO,SCO_141004,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,15,7.63,82.5,8.34,277.7,n.a.,205.1283,154.9969,55.41175,< 0.30,930.5728829,1.291073507,119.8108358,357.7535487,0.353125058,95.91222948,81.42780844,3.980826295,n.a.
10/17/2014,SCO,SCO_141017,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,13.7,7.62,72.2,7.51,218.9,100.0400433,233.664,125.344,50.415,0.539641531,810.3248665,1.32867759,59.63174869,247.6774326,0.495103175,105.5947974,91.35481574,2.627254052,5.95
10/23/2014,SCO,SCO_141023,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,10.8,7.6,31.8,3.56,291.2,146.8230769,176.702,156.116,56.071,< 0.30,1082.783572,0.20592712,42.76144999,378.6628266,0.212967174,103.5808581,76.67794196,4.164574298,3.36
10/31/2014,SCO,SCO_141031,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,8.8,7.88,59.4,6.93,313,148.939,185.233,170.015,58.582,< 0.30,1139.398174,0.241740532,39.68714752,431.224028,0.385889239,114.4900586,50.99163254,4.752339648,n.a.
11/6/2014,SCO,SCO_141106,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,8.8,7.24,31.2,3.45,294.7,n.a.,180.42,171.881,60.893,< 0.30,1161.642298,0.327692721,39.82270329,446.2209422,0.325821575,104.6030519,41.15364073,4.848208172,11.2
11/14/2014,SCO,SCO_141114,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,3.5,7.48,43.2,5.75,307.3,n.a.,178.437,173.199,74.563,< 0.30,1147.948999,0.275763273,34.22399439,440.1769183,0.178382761,102.3716245,52.83603347,4.802556494,2.28
12/6/2014,SCO,SCO_141206,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,3.4,6.94,27,3.52,204.3,n.a.,237.188,115.937,106.942,1.669,660.8288837,2.095084609,144.7530967,182.8594939,0.191124387,142.7678547,77.105,1.856,16.6
1/21/2014,SH_WEIR,SH_140121,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,1,8.34,93.4,13.2,53.8,n.a.,18.31029619,90.9806371,4.025806452,0.737583395,145.5588822,< 0.03,20.93713233,84.08969348,< 0.03,12.71857329,91.27648211,n.a.,n.a.
2/17/2014,SH_WEIR,SH_140217,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,25.09449929,113.7112222,5.625806452,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3/13/2014,SH_WEIR,SH_140313,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,2.4,7.41,83.7,11.14,37.5,n.a.,20.95909732,80.49240058,6.490322581,0.85618977,80.35678643,< 0.03,21.25428411,60.79818967,< 0.03,n.a.,78.65052519,n.a.,n.a.
3/28/2014,SH_WEIR,SH_140328,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,4,5.69,n.a.,n.a.,63,47.86,19.11706629,95.24463877,7.667741935,< 0.30,199.258982,< 0.03,21.6839736,94.14112323,< 0.03,17.6816007,87.99359088,0.279616526,n.a.
4/24/2014,SH_WEIR,SH_140424,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,18.52750353,90.90984801,9.758064516,< 0.30,182.3478044,< 0.03,24.13422681,88.94466159,< 0.03,28.19051762,89.35730817,0.319561744,n.a.
6/19/2014,SH_WEIR,SH_140619,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,14.7,7.45,103.6,10.39,75.5,n.a.,19.58251058,79.55444514,5.148387097,1.104521868,202.747006,1.344673232,32.8405545,102.9335528,0.196585242,9.447585907,101.862204,0.337822415,n.a.
6/25/2014,SH_WEIR,SH_140625,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,21.58815233,86.22527587,4.258064516,0.544848036,265.007485,< 0.03,33.5848381,123.3984777,< 0.03,37.29012614,103.7991811,0.426843186,n.a.
7/2/2014,SH_WEIR,SH_140702,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,16.9,6.8,47.6,4.6,154.1,n.a.,20.76727786,84.11513637,5.608064516,0.555967383,268.6202595,< 0.03,29.87109315,123.3943633,0.305799265,33.51892127,105.362293,0.431408354,1.65
7/28/2014,SH_WEIR,SH_140728,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,18.9,6.71,63.9,5.94,179.3,106.2325196,22.39774,75.8807,7.470377,0.675,508.73,1.289,40.117,185.394,0.967,42.232,107.573,0.665,2.89
8/7/2014,SH_WEIR,SH_140807,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,16.7,7.08,78.9,7.63,174.2,n.a.,n.a.,n.a.,n.a.,0.428854197,596.1649783,0.755662996,40.35725338,227.4634849,1.275982814,52.51031448,107.4737404,34.69527505,2.33
8/19/2014,SH_WEIR,SH_140819,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,17,7.01,63.6,6.14,156.6,n.a.,n.a.,n.a.,n.a.,0.339509572,691.1273018,0.773569702,37.13972219,221.9214153,4.699839696,43.87168918,103.4894072,33.14540059,2.5
12/7/2014,SH_WEIR,SH_141207,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,6.2,8.28,63.7,7.92,36,n.a.,20.697,76.279,3.93,0.85,63.045,0.641,24.085,62.139,0.271,14.807,90.696,0.102,4.66
