DateTime,SiteCode,SampleCode,SamplingMethod,SampleType,SampleMedium,pH,pHlab,Temp,EC,DO,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,TI205,Pb208,U238,SamplingNote
3/4/2013 11:00,FLUME_LR,JEMEZ_s961,GRAB,Grab,Surface water,6.57,-9999,1.1,-9999,69.7,5.45,2.22,0.42,5,55.75,5,5,11.11,73.5,5,0.06,35.98,5226,759,35.49,13786,117.25,1308.06,6190.77,0.86,0.44,0.16,0.85,275,0.08,0.39,0.48,1.18,0.55,2.57,36.99,66.3,0.57,0.01,0.01,0.14,0.32,12.06,62.2,117,12.7,64.3,5.97,5.19,10.04,2.2,12.8,1.8,8.9,8.88,7.2,2.06,0.28,2.78,104.69,Stream covered with snow/ice - Sediment sample taken; 1 - 1L amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
3/4/2013 1:15,FLUME_RM,JEMEZ_s962,GRAB,Grab,Surface water,6.42,-9999,1.6,-9999,71.7,4.9,1.67,0.3,11.25,21.66,5,5,5,35.07,5,0.04,27.91,4702,454,36.36,15236,311.59,1060.94,3815.58,1.01,0.78,0.19,0.35,204,0.09,0.22,0.28,0.61,1.56,1.81,20.88,55.6,1.25,0.01,0.01,0.14,0.31,2.72,52.1,130,11.49,40.6,8.2,0.9,8.99,2.3,10.7,1.8,7.4,7.38,2.84,1.97,0.26,2.59,72.83,Stream covered with snow/ice - Sediment sample taken; 1 - 1L amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
3/5/2013 13:15,FLUME_UJ,JEMEZ_s963,GRAB,Grab,Surface water,5.91,-9999,0.7,-9999,58.5,4.62,3.28,0.35,5,28.8,5,5,5,48.87,5,0.15,22.34,3716,650,43.46,16260,75.22,770.23,3805.59,1.02,0.38,0.1,5.79,442,0.09,0.37,0.51,2.33,0.11,2.31,23.78,209,0.29,0.01,0.01,0.12,0.22,12.99,106,210,32.6,138,26.4,5.24,30,6.2,34.2,5.1,25.6,25.58,20.5,3.64,0.21,2.1,219.78,Stream covered with snow/ice - Sediment sample taken; 1 - 1L amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
3/5/2013 11:45,FLUME_LJ,JEMEZ_s964,GRAB,Grab,Surface water,6.48,-9999,0.6,-9999,63.8,6.42,3.43,0.7,5,32.86,5,5,12.97,42.99,5,0.06,20.98,4764,1045,35.44,16197,100.7,1733.73,5805.2,1.06,0.7,0.26,12.31,470,0.12,0.38,0.45,1.37,0.28,2.01,35.74,150,0.52,0.01,0.01,0.1,0.36,23.52,108,193,31,107.9,21.31,7.54,23.9,3.9,25.4,4.2,16.2,16.18,13.4,2.74,0.21,2.1,244.24,Stream covered with snow/ice - Sediment sample taken; 1 - 1L amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
3/5/2013 10:15,FLUME_HG,JEMEZ_s965,GRAB,Grab,Surface water,6.6,-9999,0.7,-9999,70.2,2.61,2.72,0.22,5,37.86,5,5,5,56.37,5,0.08,24.58,2593,648,188.55,10995,47.62,822.95,2830.19,2.29,0.63,0.34,1.76,872,0.13,0.4,0.73,2.56,0.01,1.16,19.61,4.7,0.17,0.01,0.01,0.13,0.49,8.76,0.75,4.57,1.82,0.1,0.08,1.96,5.41,1.7,0.5,0.8,1.34,1.32,2.99,1.81,0.15,1.53,209.28,Stream covered with snow/ice - Sediment sample taken; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
3/5/2013 11:00,FLUME_ULJ,JEMEZ_s966,GRAB,Grab,Surface water,6.55,-9999,2.4,-9999,68.7,3.33,0.83,0.3,5,20.54,5,5,14.1,29.79,5,0.01,24.6,2508,440,34.55,9895,101.56,692.87,3147.94,0.6,0.27,0.32,0.53,142,0.09,0.29,0.44,3.18,0.22,2.46,19.25,69.47,0.15,0.01,0.01,0.07,0.24,5.97,19.06,205.1,18.56,61.97,14.67,2.72,16.57,2.68,17.04,2.87,12.46,1.71,8.53,1.73,0.13,1.27,72.94,Stream covered with snow/ice - Sediment sample taken; 1 - 1L amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
3/5/2013 15:00,VGJJ7,JEMEZ_s967,GRAB,Grab,Surface water,6.85,-9999,1.2,-9999,31.3,10.94,7.07,0.68,47.31,71.68,5,5,5,27.45,5,0.07,24.47,12127,1619,71.01,18760,136.95,1834.63,6343.92,0.99,1,0.22,53.49,703,0.23,0.61,1.09,2.36,0.82,4.72,38.55,486.85,1.88,0.01,0.01,0.06,0.41,24.3,92.55,274.9,33.66,129.9,30.59,3.67,23.04,4.27,31.95,5.66,15.71,2.58,17.11,2.81,0.17,1.69,271.91,Stream covered with snow/ice - Sediment sample taken; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
3/19/2013 10:15,FLUME_UR,JEMEZ_s968,GRAB,Grab,Surface water,7.31,-9999,1.1,-9999,86.9,5.97,4.82,0.44,5,61.64,5,5,17.6,136.68,5,0.06,71.1,5235,902,387.6,12992,112.27,1475.23,9285.63,1.13,0.75,1.26,2.37,499,0.22,0.49,0.37,1.13,0.16,2.9,62.69,11.3,0.31,0.03,0.01,0.14,0.06,12.6,6.8,11.72,11.53,11.97,8.2,10.76,13.42,8.5,9.6,8.2,7.5,7.48,10.2,9.36,0.23,2.37,193.04,Sediment sample taken; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
3/19/2013 12:00,FLUME_LR,JEMEZ_s969,GRAB,Grab,Surface water,7.27,-9999,1.2,-9999,76.1,4.83,4.23,0.37,5,64.65,5,5,10.72,120.39,5,0.02,53.81,5943,1034,22.91,13872,154.48,1336.63,7210.44,1.26,0.58,0.43,1.05,253,0.17,1.03,0.5,2,0.41,2.7,44.82,4.4,0.53,0.01,0.01,0.12,0.07,14.14,2.79,5.13,4.73,3.62,2.96,5.58,8.97,3.8,4.3,3.1,4.7,4.68,3.43,4.3,0.18,1.79,131.47,Sediment sample taken; 1 - 1L amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
3/19/2013 13:00,FLUME_RM,JEMEZ_s970,GRAB,Grab,Surface water,6.37,-9999,1.9,-9999,62.1,4.18,1.76,0.19,5,29.25,5,5,5,54.89,5,0.1,39.11,5107,450,36.22,15619,357.03,822.91,4043.52,0.77,0.79,0.49,0.47,205,0.12,0.38,0.59,12.47,1.64,2.58,21.43,73.7,1.24,0.01,0.01,0.11,0.09,3.64,52,213,15.9,65,16.93,6.68,17.79,5.3,12.9,6,7,6.98,7.3,2.6,0.14,1.42,67.5,Sediment sample taken; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
3/18/2013 14:15,FLUME_LJ,JEMEZ_s971,GRAB,Grab,Surface water,6.42,-9999,0.1,-9999,38.8,8.26,8.63,0.61,5,49.57,5,5,5,61.96,5,0.06,41.51,3422,1944,102.91,8002,308.13,5483.85,10451.04,2.04,1.14,6.14,28.11,1052,0.54,1.02,1.53,2.96,0.67,1.13,63.75,316,1.13,0.01,0.01,0.1,0.09,45.48,279,564,71,270,63.8,13.29,71,11.3,55.3,12.2,31.3,31.28,30,6.98,0.15,1.51,945.77,Sediment sample taken; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
3/18/2013 13:30,FLUME_HG,JEMEZ_s972,GRAB,Grab,Surface water,6.5,-9999,3,-9999,62.9,1.86,4.92,0.21,5,37.75,5,5,5,47.51,5,0.06,26.95,2673,574,134.96,10149,125.6,852.58,2658.72,1.64,0.47,0.3,1.74,761,0.15,0.45,0.64,1.42,0.01,1.62,17.83,87.6,0.2,0.01,0.01,0.09,0.04,6.73,52.1,171,15.9,57.3,12.94,4.41,17.02,5.4,14.6,4.5,8.3,8.28,12.4,2.54,0.09,0.89,256.97,Sediment sample taken; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
3/18/2013 12:45,FLUME_ULJ,JEMEZ_s973,GRAB,Grab,Surface water,6.63,-9999,5.7,-9999,63.6,2.79,1.68,0.2,5,16.87,5,5,5,28.16,5,0.07,39.49,2732,455,33.86,9860,155.6,752.93,3405.98,0.89,0.46,1.5,0.58,328,0.15,0.25,0.48,1.23,0.19,0.65,21.18,139,0.19,0.01,0.01,0.12,0.03,5.2,106,231,29.8,113,27,9.68,35.9,6.4,27.4,7,12.3,12.28,15.9,3.31,0.09,0.94,90.64,Sediment sample taken; 1 - 1L amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
3/18/2013 11:30,FLUME_LLJ,JEMEZ_s974,GRAB,Grab,Surface water,6.71,-9999,1.7,-9999,62.6,3.13,2.11,0.23,5,82.96,5,5,349.89,57.56,5,0.02,27.58,2596,494,38.72,10116,142.93,734.2,3449.72,0.7,0.36,0.17,0.65,204,0.09,0.2,0.48,1.26,0.03,0.94,21.16,103,0.16,0.01,0.01,0.08,0.03,7.22,90.8,168,26.2,98.4,13.31,7.96,22.7,5.7,18.4,5.5,8.8,8.78,8,3.05,0.07,0.7,68.3,No Sediment Sample taken; 2-500mL amber;1-250mL HDPE; Sampled by Scott; 
3/18/2013 15:00,VGJJ7,JEMEZ_s975,GRAB,Grab,Surface water,6.24,-9999,2.6,-9999,38.5,6.71,7.1,0.39,17.45,61.56,5,5,5,20.74,5,0.04,50.45,6732,1348,96.65,10348,207.15,2539.63,5428.46,1.4,1.53,1.06,7.69,1221,0.25,0.67,0.83,2.19,0.57,3.28,34.48,85.8,1.06,0.01,0.01,0.05,0.06,21.94,67,117,19.9,76.2,14.97,7.24,23.4,4.7,8.9,4.6,10.3,10.28,7.5,2.22,0.09,0.92,369.02,Sediment sample taken; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
3/26/2013 9:45,FLUME_UR,JEMEZ_s976,GRAB,Grab,Surface water,7.65,-9999,0,-9999,67.2,6.5,3.03,0.44,5,50.87179798,5,5,23.38116401,123.9945796,5,0.09,27.09,5365,877,27.14,13208,146.02,1383.65,9034.86,1.67,0.39,0.15,2,351,0.09,0.62,0.25,1.3,0.08,2.93,60.63,54.1,0.3,0.01,0.01,0.06,0.03,11.43,54.6,125,13.9,52.6,0.91,4.47,17.16,4.2,4.3,3.5,4.3,4.28,7.5,2.72,0.06,0.59,130.21,Sediment sample taken; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott/Mark; 
3/26/2013 10:50,FLUME_LR,JEMEZ_s977,GRAB,Grab,Surface water,6.9,-9999,0.1,-9999,61.4,5.9,3.11,0.25,5.62,66.13601616,5,5,5,116.4317344,5.26,0.09,38.98,5942,918,24.1,14034,162.65,1326.67,7559.04,0.7,0.41,0.41,1.1,200,0.08,4.23,1.53,2.25,0.31,2.72,46.61,280,0.58,0.01,0.01,0.05,0.06,14.44,263,433,72.1,245,49.8,19.58,63,10.7,45,10.3,32.8,32.78,28.8,5.13,0.06,0.6,119.52,Sediment sample taken; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott/Mark; 
3/26/2013 12:00,FLUME_RM,JEMEZ_s978,GRAB,Grab,Surface water,6.77,-9999,0.1,-9999,56.6,4.34,1.3,0.19,8.6,15.83673108,5,5,5,27.1356786,5,0.02,28.43,4321,387,40.23,13339,304.14,677.84,3438.18,1.02,0.78,0.34,0.65,543,0.09,0.3,0.45,2.31,1.44,1.51,18.63,483,1.06,0.01,0.01,0.05,0.06,3.24,332,611,89.8,372,73.3,14.57,99.6,15.3,79,15.6,44.2,44.18,40.7,8.2,0.05,0.49,46.18,Sediment sample taken; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott/Mark; 
3/22/2013 12:30,FLUME_UJ,JEMEZ_s979,GRAB,Grab,Surface water,6.4,-9999,0.7,-9999,92.1,4.81,6.74,0.35,5,26.97047795,5,5,5,48.80027669,5,0.02,24.04,3880,847,134.7,14898,122.69,1545.79,5135.2,1.83,0.88,0.49,2.43,1229,0.17,0.63,0.63,1.95,0.24,2.39,29.77,102,0.4,0.01,0.01,0.05,0.05,12.81,56.5,148,15.9,60.8,13.33,4.33,22.7,3.7,15.5,3.8,8.4,8.38,11.1,2.44,0.05,0.51,419.74,Sediment sample taken; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott/Mark; DO questiopble
3/25/2013 10:45,FLUME_LJ,JEMEZ_s980,GRAB,Grab,Surface water,6.63,-9999,0.1,-9999,58.7,7.76,7.76,0.43,6.19,38.28530857,5,5,4.184176058,91.3825732,5,0.15,27.53,5109,1463,196.3,15273,175.92,2529.47,8790.6,2.23,1.27,0.42,49.15,1826,0.31,1.56,0.98,2.43,0.53,1.79,54.85,95,0.57,0.01,0.01,0.03,0.05,39.76,68.1,197,19.2,82.5,16.26,4.48,22,4.6,13,3.5,11.7,11.68,12.4,2.85,0.06,0.6,837.16,No Sediment Sample taken; 2-500mL amber;1-250mL HDPE; Sampled by Scott/Mark; 
3/25/2013 14:00,CowboySp,JEMEZ_s981,GRAB,Grab,Surface water,6.75,-9999,7.9,-9999,68.2,7.19,0.46,0.32,15.90474178,37.83487418,5,5,19.54387013,24.25863442,5,0.07,46.72,7192,876,5.05,28993,66.25,3770,3696,0.19,0.84,0.45,0.16,56,0.12,0.26,0.34,1.34,0.32,2.16,19.25,169,0.82,0.01,0.01,0.03,0.04,5.08,154,286,40.2,158,37.5,12.29,45.4,6.3,33.9,6.6,18.3,18.28,19.8,3.58,0.04,0.42,404.48,Sediment sample taken; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott/Mark; not measureable
3/25/2013 11:30,FLUME_HG,JEMEZ_s982,GRAB,Grab,Surface water,6.22,-9999,0.2,-9999,61.8,2.19,4.04,0.17,5,32.97929431,5,5,5,48.11400826,5,0.08,22.18,2476,607,494.33,10817,64.59,803,2849,4.97,1.37,0.91,5.26,2219,0.22,0.46,0.69,2.55,0.12,2.39,19.27,73.7,0.16,0.01,0.01,0.04,0.03,9.94,50.1,98,14.3,54.8,8.32,4.86,13.73,3.4,12,3.3,7.1,7.08,9.5,1.97,0.02,0.21,456.3,Sediment sample taken; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott/Mark; is 0.8 cfs correct?
3/25/2013 12:30,FLUME_ULJ,JEMEZ_s983,GRAB,Grab,Surface water,6.89,-9999,0.8,-9999,61,3.15,1.27,0.19,5,16.06,5,5,8.37,25.92,5,0.02,85.81,2584,423,34.43,9341,106.3,699,3184,0.51,0.75,0.85,0.64,308,0.21,0.14,0.36,1.3,0.24,4.76,19.54,73.5,0.22,0.01,0.01,0.02,0.01,5.35,71.2,113,17.8,62.8,11.43,7.55,25.3,3.9,12,3.6,7.5,7.48,5.2,2.7,0.02,0.21,62.87,Sediment sample taken; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott/Mark; 
3/25/2013 13:45,VGJJ7,JEMEZ_s984,GRAB,Grab,Surface water,6.48,-9999,1.7,-9999,34.9,9.1,4.9,0.16,29.80337081,67.68015602,5,5,5,28.03384979,5,0.02,91.68,9203,1485,77.09,18961,109.81,1917,6432,1.11,0.91,0.42,2.66,756,0.17,0.62,0.6,13.07,0.56,1.26,39.71,45.8,1.46,0.01,0.01,0.01,0.05,37.48,44.1,110,11.95,36.8,4.08,4.04,20.2,3.8,7,3.2,6.9,6.88,6.8,2.1,0.03,0.31,301.87,Sediment sample taken; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott/Mark; 
3/18/2013 18:00,FLUME_LLJ,JEMEZ_s985,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1-l glass; Sampled by Scott/Mark; 
3/21/2013 18:00,FLUME_LLJ,JEMEZ_s986,GRAB_Auto,Grab,Surface water,-9999,7.37,-9999,-9999,-9999,8,2.6,0.2,5,19.99782108,5,5,5,44.43819857,5,0.02,45.32,4351,699,13.99,7677,77.54,3644,7440,0.68,0.15,1.11,2.67,10767,0.12,1.02,9.6,357.82,0.61,2.69,35.54,433,1.67,0.01,0.01,0.02,0.85,14.88,294,542,87,368,55.2,15.94,75.3,13.8,66.1,15.2,42.4,42.38,48.2,8.36,0.07,0.01,94.96,Filtered a week after reception.  Bottle was not refrigerated; 1-l glass; Sampled by Scott/Mark; 
3/24/2013 18:00,FLUME_LLJ,JEMEZ_s987,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1-l glass; Sampled by Scott/Mark; 
3/31/2013 12:30,FLUME_UJ,JEMEZ_s988,GRAB,Grab,Surface water,6.75,-9999,3.6,-9999,70.2,3.96,6.39,0.35,5,25.18,5,5,5,44.29,5,0.02,176.96,3408,761,187.27,12739,87.82,1514,4922,2.57,3.53,10.25,2.72,1490,0.84,1.18,0.94,34.92,0.26,6.97,28.72,1978.87,0.39,0.01,0.01,0.04,0.25,12.69,1347.7,2788.78,385.97,1525.55,344.31,50.05,328.41,53.31,358.81,70.76,233.62,36.8,199.59,33.6,1.88,19.06,603.93,Sediment sample taken; 1-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Mark; 
3/31/2013 13:30,FLUME_LJ,JEMEZ_s989,GRAB,Grab,Surface water,6.49,-9999,6.4,-9999,61.7,6.84,6.92,0.36,5,28.67,5,5,5,64.86,5,0.02,103.93,4281,1164,88.81,11176,106.9,2107,7961,1.56,2.28,1.14,21.05,855,0.4,0.78,0.86,2.28,0.4,4.77,50.49,483.88,0.69,0.01,0.01,0.01,0.17,33.73,461.12,977.97,135.75,488.15,102.26,12.36,98.76,16.8,91.93,21.86,61.21,9.68,55,8.78,1.04,10.65,546.77,Sediment sample taken; 1-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Mark; 
3/31/2013 13:00,CowboySp,JEMEZ_s990,GRAB,Grab,Surface water,6.72,-9999,8.1,-9999,65.7,6.61,0.59,0.37,21.72,37.94,5,5,20.4,25.44,5,0.07,19.16,7057,827,6.75,27281,62.65,3707,3625,0.23,0.53,1,0.21,55,0.1,0.34,0.24,1.26,0.3,4.09,18.92,14.7,0.8,0.01,0.01,0.01,0.11,5.55,9.2,10.92,10.59,11.74,2.44,12.94,18.2,11.5,10.5,9.8,13.6,13.58,7.4,10.66,0.68,6.75,472.1,No Sediment sample taken; 1-500mL amber;1-250mL HDPE; Sampled by Mark; not measureable
3/31/2013 14:15,FLUME_HG,JEMEZ_s991,GRAB,Grab,Surface water,6.38,-9999,5,-9999,66.4,1.81,4.75,0.18,5,38.91,5,5,5,44.12,5,0.1,11.51,2640,532,162.18,9935,65.47,832,2614,1.68,0.6,0.78,1.72,883,0.11,0.39,0.68,3.12,0.01,1.31,17.66,7.8,0.17,0.01,0.01,0.01,0.09,6.61,2.13,6.38,5.76,4.11,0.8,4.24,10.81,5.1,5.8,5.5,6.2,6.18,2.89,4.06,0.42,4.18,308.38,Sediment sample taken; 1-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Mark; 
